,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
0,Hr Manager,Mumbai,Full Time,HR Operations Department,9 Aug 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0,good medical benefits eventually you will need it considering the terrible working environment and culture,terrible reward and recognition zero appreciation
1,Deputy Project Manager,"Meerut, Uttar Pradesh",Full Time,Construction / Manufacturing Department,9 Aug 2023,4.0,2.0,4.0,4.0,4.0,4.0,4.0,freedom to experiment no shortcuts to take even though work is loss good quality procedure etc,sometimes feels like semi government so many protocol and rules people are enjoying the loopholes in the system
2,Manager,Vadodara/Baroda,Full Time,Engineering & Manufacturing Department,8 Aug 2023,4.0,4.0,3.0,3.0,4.0,3.0,3.0,noting much as a manager,no learning as 14 yes ex manager lot of deduction in salary some of te l t sub its like got job here in my sub no workflow has been set not enough resources to work
3,Scm Buyer,Mumbai,Full Time,Procurement & Purchase Department,7 Aug 2023,5.0,2.0,2.0,5.0,3.0,5.0,1.0,company good for growth and great learning opportunities,company doesn t offer work from home at any condition no flexible working hours no saturday off
4,Construction Manger(Civil),New Delhi,Full Time,Construction Engineering Department,7 Aug 2023,4.0,3.0,4.0,3.0,4.0,4.0,2.0,good any salary payment on time good support by manners but boss people got promotion and rating working 15 years from l t,need review the appraisal and promotions process
5,Lead Clinical Evaluation Expert-Medical Devices (Third Party Consultant),Bangalore/Bengaluru,Full Time,Health Informatics Department,7 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nothing,all mechanical background people come and start working in medical domain and on top of everything they are in higher positions just because of their number of years experience not because of their relevant knowledge in the medical industry it is very frustration for skilled professional to reason with their little to zero knowledge
6,Accounts Manager,Jalandhar,Full Time,Accounting & Taxation Department,6 Aug 2023,4.0,3.0,4.0,4.0,5.0,4.0,3.0,salary on time training and other employee benefits,higher management is not suppurative to project team and apparently long delay in crucial decision making
7,Assistant Manager Electrical,"Jodhpur, Rajasthan",Full Time,Construction Engineering Department,6 Aug 2023,4.0,4.0,4.0,4.0,5.0,4.0,4.0,company is 5 star rate l t is very good for its employees,some management is not good they undertake their subordinates wanted they plays politics with their life s
8,Asst. General Manager - Environment,Kattupalli,Full Time,Administration Department,6 Aug 2023,2.0,2.0,2.0,3.0,2.0,1.0,1.0,i like only the medical allowance given for treatments,straight forward people can not survey in this company appraisal process is very worst only navy ex service person will be lifted here
9,Hr Trainee Generalist,New Delhi,Full Time,HR Operations Department,5 Aug 2023,1.0,1.0,5.0,1.0,1.0,5.0,1.0,skill and knowledgeable,nobody listens to the employees there is zero corporate culture scar on the name of corporate the people on high positions are good but the staff working under them is very clever and selfish all face false promises with employees which are of no use
10,Individual Relationship Officer,Kolkata,Contractual,Employee Relations Department,5 Aug 2023,4.0,4.0,5.0,5.0,4.0,5.0,4.0,l t is a great platform to learning and developing skill i learned a lot from large and tour the way of working is very advanced and systematic,promotions appraisal is not good everyone should be treated equally in employment and promotion
11,Senior Specialist - Data Sciences,Mumbai,Full Time,Data Science & Machine Learning Department,5 Aug 2023,4.0,4.0,4.0,4.0,4.0,5.0,3.0,employee friendly policies good data science projects learning focused on new and emerging technologies,annual appraisal process not transparent
12,Assistant Construction Manager,New Delhi,Full Time,Construction Engineering Department,5 Aug 2023,4.0,2.0,2.0,5.0,4.0,2.0,5.0,as they provide better salary and growth in terms for money provides good accommodation and transportation,as the person from tier 1 college the personal and technical growth in at l t sites is not as much
13,Senior Specialist - Snowflake,"Pune, Maharashtra",Full Time,Health Informatics Department,4 Aug 2023,3.0,2.0,1.0,3.0,3.0,4.0,1.0,company policies and being head office in lumbar is best thing salary offered is good focus on more mortification free voucher for mortification good projects,most of associates has no expertise mostly offshore work you will not get technical experts in company attention rate is higher most associate boast about skill but actual hands experience is less no actual training for upskilling you are on your own mismanagement in projects
14,Chief Surveyor,New Delhi,Full Time,Surveying Department,4 Aug 2023,4.0,2.0,2.0,3.0,4.0,2.0,2.0,salary date with fixed never change,purely tail regional company only tail people will get highest benefits training program not related to job skill capability doesn t matter only relation with top boss requires to get benefits
15,Assistant Construction Manager,"Amritsar, Punjab",Full Time,Construction Engineering Department,4 Aug 2023,2.0,2.0,2.0,3.0,4.0,1.0,2.0,only job security with a condition if you enrolled in organization that you must to be ensure that you are on the company patrol don t join this organization as a etc employee once you joined as a etc you will not be permanent till life,everything is dislike i suggested to everyone don t join this company on the basis their brand name if you had another option except to this kindly join other organization and skin this
16,Safety Officer,"Bengaluru/Bangalore, Karnataka",Full Time,Occupational Health & Safety Department,4 Aug 2023,3.0,3.0,4.0,3.0,2.0,3.0,2.0,i would like to do safety officer job in construction you will learn to much thing in l t company overall good company if you are interested in construction field and all,they will not give you promotion early they will take to many year to review your performance then company will think about you
17,Computer Vision Specialist,"Vadodara, Gujarat",Full Time,Software Development Department,4 Aug 2023,4.0,4.0,2.0,3.0,3.0,3.0,3.0,there are work flexibility and flexible hours,job security they can put you on bench any time without informing you even after a good performance
18,Mechatronics Engineer   (working remotely),,Full Time,Plant & Machinery  Department,4 Aug 2023,4.0,3.0,4.0,3.0,4.0,3.0,3.0,proud to be working in mac and having great experience,my placement time got message will deploy you in tm work even though i worked in tm as well as learn lots of thing s but after getting separate kept tunnel no one transferring as well as interested that s very much painful if you selected people for special work as well as the person also early dedicate for the work then why not deploying them that s very much poor and painful situation
19,Engineer,"Mysuru/Mysore, Karnataka",Full Time,Data Science & Machine Learning Department,4 Aug 2023,3.0,2.0,3.0,3.0,5.0,3.0,1.0,i am working in more location its having a good camps to enjoy good colleges and friends,higher management doesn t care about you or your family its like you are employee and whatever we told you have to do doesn t matter whatever problem you are facing i wanted lumbar location due to some family issue but higher management behaved very rudely
20,Engineer Systems,Kolkata,Full Time,Construction Engineering Department,3 Aug 2023,3.0,2.0,2.0,1.0,3.0,2.0,2.0,muttering for your boss and senior,dirty politics partiality with south drissa and west bengal people not getting promotion one time
21,Field Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Telecom Department,3 Aug 2023,3.0,2.0,1.0,2.0,1.0,3.0,1.0,good support from colleges,worst likes and no salary incitement and salary low but 10 people work and not a engineer job but cal has courier service
22,Sr. Construction Engineer,"Balangir, Odisha",Full Time,Construction Engineering Department,4 Aug 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,work culture planning discipline leadership qualities environmental health safety quality superior supports transportation facilities it s a better opportunity for my carriers,extendable duty hours shift duties rating appraisal
23,Assistant Manager,"Lucknow, Uttar Pradesh",Full Time,Industrial relation  Department,3 Aug 2023,3.0,2.0,3.0,3.0,5.0,5.0,3.0,job security and benefits are very good but job culture and individual department responsibility as per department is not good,working time and site management
24,Construction Manager,Chennai,Full Time,Construction / Manufacturing Department,3 Aug 2023,3.0,3.0,4.0,3.0,3.0,2.0,3.0,management systems policies ample scope for learning and developing skill and opportunities for career growth,1 work culture in construction employees are being treated as commodity and unfairly by is 2 no professional ethics master slave relationship is grown well those who are unable to fit in with this culture can t stay in organization 3 always boss is right culture is leading to delay in decision making and loss to the projects who doesn t have even time to visit a project once physically and understand the ground reality read more
25,Associate Trainee,Chennai,Contractual,IT Infrastructure Services Department,3 Aug 2023,4.0,4.0,5.0,2.0,5.0,5.0,2.0,work tidings friendly environment better place to learn,salary and promotion he politics no leave for contract employee
26,Chief Welding Inspector -Tank,Chennai,Full Time,Quality Assurance and Testing Department,3 Aug 2023,4.0,4.0,4.0,4.0,5.0,3.0,4.0,salary benefits like family accommodation in abroad country,hiring process i e if you are not aware of l t system then they will cheat you to hire in non is staff it means you are not working as a staff
27,Branch Processing Officer,New Delhi,Full Time,Banking Operations Department,3 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good corporate sector and skill development so thank you arson and tour,arsenal combination and group members very strong large in tour software easily and loan provide to say 4 days and good person and to go so thank you
28,Dgm Hr,Mumbai,Full Time,Other Department,2 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,i enjoyed my role degradation during my tenure i was given opportunity to explore new learning and take up new assignment time to time working with experienced leaders and colleagues has added good exposure i enjoyed my working experience with large and tour,one thing which come across my mind is adaptation to new policies and processes is little slow it can be an area of improvement
29,Principal Architect,Kolkata,Full Time,Engineering & Manufacturing Department,2 Aug 2023,1.0,3.0,1.0,1.0,5.0,1.0,1.0,work life balance is there,1 employees are like slave what management think about the employees they can do but employee never protest against anything 2 salary structure for all old employees are horrible 3 no growth for old employees 4 baseness is very much for long time employees and their growth is restricted
30,Business Development Associate,"Jaipur, Rajasthan",Full Time,BD / Pre Sales Department,2 Aug 2023,4.0,4.0,3.0,4.0,4.0,3.0,3.0,i am on a role of business development associate for past 1 eyes in the company after getting this role i found work life balance which i was not able to have since the initiation of my career there are a lot of programme and training company is offering through different initiatives which helps employees to scale their performance,i have an experience of eyes in project execution the worst thing of being in projects execution in l t is your work life balance missed up no fix hours of work we work on even sundays too second is the favourable recognition and reward
31,Manager - Marketing & Business Development,Mumbai,Full Time,Sales marketing and business development  Department,2 Aug 2023,2.0,1.0,1.0,2.0,1.0,1.0,2.0,only brand name of company,very very poor salary incitement work load is tremendous as they keep very less employees 1 person will do work of 3 persons favoritism only favorite candidate will get good salary like annually and fast promotion even if he she doesn t work at all appraisal system itself is pathetic etc etc
32,Construction Manager Civil,Mumbai,Full Time,Construction Engineering Department,2 Aug 2023,4.0,1.0,4.0,3.0,3.0,3.0,3.0,salary on time system in working hierarchy opportunities for grabbed accommodation transport,salary range heavy working hours no personal life balance appraisal depends on relations not on performance
33,Rigging Foreman,Kolkata,Full Time,Others  Department,1 Aug 2023,5.0,4.0,5.0,5.0,5.0,4.0,4.0,suppurative team mates healthy environment got skilled colleagues payment system is good,less training programme
34,Assistant Construction Manager Mechanical,"Indore, Madhya Pradesh",Full Time,Construction Engineering Department,1 Aug 2023,3.0,1.0,4.0,3.0,5.0,1.0,2.0,only professional and political skill improves,not good for lateral entry guns better to join as trainee appraisal procedure is very bad eligible persons don t get much
35,Senior Engineer,Mumbai,Full Time,Construction Engineering Department,1 Jul 2023,4.0,3.0,5.0,3.0,4.0,4.0,2.0,l t gives training to develop skill of employees,rating system for performance is not good justification is not done properly someone get good rating but not work so just boiling their in charges someone get bad rating even though he work hard and give their 100 so appraisal system should be changed
36,Construction Manager,"Visakhapatnam, Andhra Pradesh",Full Time,Construction Engineering Department,1 Jul 2023,4.0,3.0,4.0,4.0,5.0,4.0,5.0,scope clarity regarding design execution of work duties responsibilities are clear very fast reimbursement,retention amount shall be reduced domiciliary medical coverage shall be extended to the parents dependents
37,Assistant Manager Operations,Kolkata,Full Time,Construction Engineering Department,1 Jul 2023,2.0,1.0,4.0,2.0,2.0,2.0,1.0,only timely salary,rating system which reflect on your salary structure here due to rating 7 8 years junior also getting too much more salary than you if you can done boiling then ok whoever are getting growth they are getting continuously in my opinion if your growth is no happening please don t wait for next year just leave it only in time is thereto out time including sunday even holiday if you wants your leave you can t take and at the end of the year they will pay only basic of your balance leave how to make you fool they well knows read more
38,Chief Surveyor,"Patna, Bihar",Full Time,Surveying Department,0 Jul 2023,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1 the quality they never compromise 2 let is very much safety concern at site as well as for every workers 3 take care of slaveholders 4 pay salary without delay,if you work good only in your field that is not enough to survive long in this company
39,Branch Officer   (working remotely),,Full Time,Operations Department,9 Jul 2023,5.0,5.0,4.0,4.0,3.0,5.0,4.0,it is very good experience in l t overall so good great office timing work specific personal experience in my opinion on it was nice,its good company but job security issue with
40,Senior Recruitment Consultant,Mumbai,Contractual,Recruitment & Talent Acquisition Department,9 Jul 2023,3.0,3.0,2.0,2.0,3.0,2.0,2.0,work life balance and food,appraisal and no learning whatever you are doing you will continue doing same for couple of years
41,Manager,"Faridabad, Haryana",Full Time,Construction / Manufacturing Department,8 Jul 2023,2.0,2.0,2.0,1.0,4.0,2.0,1.0,on security is there but no financial progress,other l t group companies are process driven but l t maps is people driven company
42,Assistant Officer,Chennai,Full Time,Construction Engineering Department,3 Aug 2023,5.0,4.0,4.0,5.0,5.0,5.0,4.0,systematic method work with proper documentation and salary on time,sparing time with family functions will be very less importance whereas company will concentrate only on work
43,Assistant Manager,Chennai,Full Time,Operations / Strategy Department,7 Jul 2023,3.0,4.0,2.0,3.0,4.0,2.0,3.0,at l t there are excellent networking opportunities and diverse responsibilities,limited focus on employee training and growth by higher management minimal he support
44,Civil Structural Engineer,Bengaluru/Bangalore,Full Time,Engineering Department,7 Jul 2023,4.0,3.0,4.0,4.0,4.0,5.0,4.0,large and turn is a big name own in own there are good culture among employees and promotion is one of the main reason,i saw the employee in large and turn they work almost 12 hours in a day it s very high that means work life balance is not good
45,Senior Ir Executive,"Sambalpur, Odisha",Full Time,Employee Relations Department,6 Jul 2023,4.0,3.0,3.0,4.0,4.0,3.0,3.0,everything is good but appraisal are not fair salary and benefits is best in compare to other companies,appraisal and work life balance
46,Assistant Construction Manager,Kolkata,Full Time,Construction Engineering Department,6 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,2.0,big brand mac,management not good no limit of your duty off time compulsory sunday duty for execution persons appraisal rating system is disgusting no freedom to switch from this company 90 days notice period
47,Safety Supervisor,"Bengaluru/Bangalore, Karnataka",Full Time,Occupational Health & Safety Department,5 Jul 2023,4.0,3.0,4.0,3.0,3.0,3.0,2.0,we can work under well experienced safety personal and also will helps to gain more knowledge from them,the culture in this company is little negative
48,Manager Hr And Ir,Chennai,Full Time,Employee Relations Department,5 Jul 2023,4.0,3.0,4.0,4.0,4.0,4.0,3.0,l t as a brand company is good but working culture is not good the employees are not given much valued as per their capability lots of community based bias is there in respect to promotion appraisal motivation enter the salary structure is good but no work life balance bold minded staff are getting either scolded or termination on raising true story overall co is good but peoples are not so value proposition and also community based culture read more,totally no career growth scope in non technical related job and lots of community based bias
49,Safety Officer,"Surat, Gujarat",Full Time,Occupational Health & Safety Department,4 Aug 2023,5.0,3.0,5.0,3.0,5.0,5.0,3.0,systematically work gaining knowledge working methods involving safety quality time bound,working hours transportation from work to guest house
50,Manager Accounts,Chennai,Contractual,Finance Department,4 Aug 2023,3.0,2.0,3.0,4.0,1.0,1.0,2.0,good standard working policies good top management,poor site management too much of partiality no job security the will remove any time if they don t like even if you are worked hard project managers don t are treat subordinates as human no value for hard working and education
51,Project Incharge,Mumbai,Full Time,Construction Engineering Department,9 Jul 2023,5.0,5.0,4.0,5.0,4.0,5.0,4.0,this is the best indian mac company huge work load make a employee best,personal life become zero no more hold days in this company
52,Assistant Manager,New Delhi,Full Time,Construction / Manufacturing Department,3 Jul 2023,3.0,1.0,3.0,2.0,4.0,1.0,3.0,get to experience working in meg infrastructure projects mistakes are considered as learning curves good job security,terrible work life balance for people working at project sites culture of appreciation to be improved working for more hours is considered good even if there is no work post 7 pm
53,Manager,Mumbai,Full Time,Quality Assurance and Testing Department,3 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,salary in time and,too much foul play and racism you can not survive here without any abolishing you will be harassed if you are a talent and workholic guy overall this place is full of vicious atmosphere where there is no value for any educated disciplined peoples
54,Civil And Formwork Foreman,Chennai,Full Time,Construction Engineering Department,3 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1 innovative ideas and plans 2 good manner and behaviour with colleagues 3 salary satisfaction 4 monthly increament 5 work efficiency and enrichingment,1 less holidays 2 no trips 3 strict working hours 4 no flexibility
55,Branch Manager,Tc Koot Road,Full Time,Banking Operations Department,2 Jul 2023,5.0,4.0,2.0,5.0,2.0,1.0,5.0,best salary in industry life balance very excellent,job security very worst no one support critical situation if you met accident at office time no one not supported you leave salary not arrived transfer not given
56,Manager,"Rajpura, Punjab",Full Time,Engineering Department,2 Jul 2023,5.0,5.0,5.0,5.0,5.0,4.0,4.0,salary on with every month not later rest everything everywhere depends on boss not such a good pay master but yes benefits etc are good,pus system
57,Associate Software Engineer,Bangalore/Bengaluru,Full Time,Software Development Department,1 Jul 2023,2.0,3.0,3.0,1.0,1.0,2.0,1.0,suppose if you get good projects then you will learn or else no,1 no likes at all 2 only few get good projects 3 my advice contact 20 people who have already worked in lots and then decide 4 always ask what project will be given after joining then decide whether to join or not
58,Planning Assistant,"West Garo Hills, Meghalaya",Full Time,Construction Engineering Department,1 Jul 2023,2.0,1.0,2.0,3.0,1.0,3.0,1.0,i dont like anything about it there is all the benefits to the permanent staffs but for raw staffs are nothing good at all,everything i dislike about the company as a raw staff
59,Engineer Precast,Surat,Contractual,Construction Engineering Department,1 Jul 2023,4.0,1.0,3.0,3.0,1.0,1.0,3.0,safety in work,rude managers who dont want to work just transfer their work and stress to their sub ordinated and all time works in whatsapp do this do that send this pick send that pick
60,Analyst,"Mysuru/Mysore, Karnataka",Full Time,Business Process Quality Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,i love infrastructure absence working with co workers new staffs enjoying work place newopportunities to explore events learning new skill,nothing
61,Assistant Manager Procurement,"Faridabad, Haryana",Full Time,SCM & Logistics Department,0 Jul 2023,3.0,3.0,4.0,4.0,5.0,2.0,3.0,you have lots of opportunity to learn,office culture and politics during promotions working hours are long as per rules office time is 9 am to 5 40 pm but you can t leave office before 7 pm
62,Assistant Manager,Mumbai,Full Time,Engineering Department,8 Jul 2023,4.0,3.0,3.0,4.0,5.0,4.0,3.0,people here always encourage you to take up any challenges freedom to experiment to make mistakes is given,increments salary may need improvement
63,Senior Construction Manager,Vadodara,Contractual,Construction Engineering Department,4 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0,i like to do the work with large and tour limited etc division for good culture job satisfaction skill development motivate the people in nation for good quality of job and also i like to do the job with large and tour limited etc division because etc division work for pride of nation and do the major prestigious and difficult construction work,in same grade huge salary difference and yearly leave not transfer in next contract year some facilities is not allowing the etc grade employee but etc grade employee also do the same type of job and take same risk
64,Associate Project Consultant (Bridges),"Surat, Gujarat",Contractual,Engineering Department,8 Jul 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,working in l t means you will work for meg projects of india you can get exposure to site problems and their working of cost effective solution is very good,working in l t is like sheep in an herd you have to perform very well to get recognised for promotions
65,Officer,Chennai,Full Time,Finance Department,7 Jul 2023,5.0,5.0,5.0,2.0,5.0,3.0,2.0,great learning good colleagues,judging easily if you are not from a grade b school and ca low salary if you have experience and knowledge
66,Commercial Executive,"Kanchikacherla, Andhra Pradesh",Full Time,Accounting & Taxation Department,7 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nothing to say,this is senseless company i have worked ever my suggestion to freshness or experienced people that do not join into this mad and toxic organization
67,Senior Engineer,"Vadodara, Gujarat",Contractual,Construction Engineering Department,7 Jul 2023,4.0,4.0,5.0,4.0,4.0,5.0,4.0,work with l t is excellent and learn more new technologies and management technique,we have facing some minor obstacles at lower management otherwise all things is good
68,Senior Executive Engineer   (working remotely),,Full Time,Civil & Structural  Department,7 Jul 2023,3.0,2.0,5.0,2.0,5.0,3.0,3.0,huge work they have,1 put team as not given proper respect to engineering consultant team let chiyoda 2 work from office during corona this policy is not good
69,Assistant Manager,"Vadodara, Gujarat",Full Time,Engineering Department,5 Jul 2023,3.0,2.0,2.0,2.0,4.0,1.0,1.0,its good that u get a chance to work here only if you are blessed with good is and do is are given some approval authorities which is not correct,politics performance rating system benefits and peaks
70,Senior Manager,"Kolkata, West Bengal",Full Time,Engineering Department,5 Jul 2023,5.0,5.0,4.0,2.0,3.0,4.0,2.0,respectful atmosphere for women employees,i had to compromised my desirable salary which i feel very insecure unsatisfactory frustrated
71,Accounts Assistant,"Hyderabad/Secunderabad, Telangana",Full Time,Payroll & Transactions Department,0 Jul 2023,4.0,3.0,4.0,4.0,5.0,5.0,4.0,day to day maintenance of records proper guidance from the senior staff team members are always suppurative learn more skill and ability to apply it s for our company work,no weekend s working in villages not at all city life 40 to 50 ms far away to city
72,Larson And Toubro Mecon Roundabout Flyover Project,Kolkata,Part Time,Stores & Material Management Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,all are like i have been working in this company for four years as per my experience everything is good in all aspects of this company and teaching to work is very good,one thing i will say is that there is no such thing as dislike raw if every one has a little help from some sir then he can become permanent staff of this company
73,Qa Qc Engineer,"Bharuch, Gujarat",Full Time,Production & Manufacturing Department,4 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,a c has brought training from cut ahemdabad asset a c has been made a helper here,a c has brought training from cut ahemdabad asset a c has been made a helper here
74,Civil Site Engineer,New Delhi,Full Time,Construction Engineering Department,4 Jul 2023,5.0,5.0,5.0,5.0,5.0,4.0,5.0,am biskra human set from dish am work in l t construction third party apex infra teach now i m work in ll lunching order,she bjekebd
75,Senior Engineer,New Delhi,Full Time,Construction Engineering Department,0 Jul 2023,4.0,3.0,5.0,5.0,5.0,4.0,4.0,its freedom in work no hierarchy system at site mainly when at work familiar environment for beginners,work life balance specially due to location
76,Construction Manager - Mechanical,Mumbai,Full Time,Construction Engineering Department,4 Jul 2023,1.0,1.0,2.0,2.0,3.0,1.0,1.0,like only medical benefits provided for manager level,they only punch in time but not the out time no work life balance always work only
77,Assistant Manager Civil,"Abu Dhabi, Abu Dhabi",Contractual,Construction Engineering Department,4 Jul 2023,5.0,5.0,5.0,3.0,3.0,5.0,2.0,working hard office consultant management site and leadership good transportation car with driver free housing and food medical aid,contract job security only until projects running renewed every year salary like par very low no promotions with appraisal
78,Senior Engineer - Electrical,Chennai,Full Time,Construction Engineering Department,4 Jul 2023,4.0,2.0,3.0,4.0,4.0,3.0,4.0,this is for hardworking candidates only if you want join this company you have to ready for tremendous work pressure,there are only 8 holidays in a year this is very less as compared to others i think
79,Data Engineer,"Pune, Maharashtra",Full Time,Software Development Department,3 Jul 2023,4.0,3.0,1.0,1.0,5.0,1.0,1.0,nothing to like,micromanagement monitoring activities and productive time using some apes no value for skill mandatory 2 days from office which will again be traced and manager sends mail to specify reason if someone joins even single day from office also no team culture
80,Materials Engineer,"Hazira, Gujarat",Full Time,Procurement & Purchase Department,3 Jul 2023,1.0,1.0,1.0,1.0,5.0,1.0,1.0,this is very poor working culture there is lot of pressure to work and work min 15 to 16 hours very less gallery as compare to working house and pressure tension there is no personal life,every thing is here for dislike not a single stuff here to do like
81,Engineer,"Gangtok, Sikkim",Full Time,Engineering Department,3 Jul 2023,4.0,1.0,5.0,2.0,4.0,4.0,1.0,job security is better than other companies perfect time payments given,work time not fixed every holiday work culture no sunday in our life personal life not maintain properly personal leave not maintain
82,Senior Engineer,"Devprayag, Uttarakhand",Full Time,Construction Engineering Department,3 Jul 2023,5.0,4.0,5.0,4.0,5.0,4.0,4.0,i have reference to everyone will get definitely growth and knowledge with this organization,working hours we are working 13 hours per day without holiday
83,Front Line Sales,"Harda, Madhya Pradesh",Full Time,Retail & B2C Sales Department,3 Jul 2023,3.0,3.0,4.0,3.0,3.0,4.0,2.0,company process in very fast do work in market very aggressive mode and achieve good nos to competing with other bank and nbfcs give extra reward to employee,working pressure is very high appraisal and rating not important to company and superior important only target and work very distressful job culture
84,Assistant Accounts Officer,Jodhpur,Full Time,Accounting & Taxation Department,3 Jul 2023,4.0,3.0,3.0,3.0,3.0,3.0,1.0,nice place to work,value of supporting employee is treated under valuation in all over system which is not good for future business this is site level remark
85,B Tech Mechanical Engineer,"Kutch/kachchh, Gujarat",Contractual,Mechanical engineering Department,0 Jul 2023,3.0,3.0,4.0,3.0,3.0,3.0,4.0,working hour good opportunity to learn in time salary job satisfaction high pressure,remote project location
86,Store Assistant,Mumbai,Contractual,Stores & Material Management Department,2 Jul 2023,5.0,5.0,5.0,2.0,5.0,5.0,2.0,i like the system work lips 0 which actually improve everything,just need the proper salary to work with the organization secure family problem
87,Engineering Manager,New Delhi,Full Time,Engineering & Manufacturing Department,2 Jul 2023,3.0,2.0,3.0,2.0,4.0,3.0,1.0,the challenging work and unique project,disparity between north indian and south indian and no promotion and work life balance very poor company it promotes only south indian people
88,Manager Project Delivery( Piping,"Balotra, Rajasthan",Full Time,Construction Engineering Department,2 Jul 2023,4.0,3.0,2.0,3.0,3.0,3.0,3.0,timely salary,past employees habituated and grown up with a culture of work life balance so they foster oncoming talent to follow the same
89,Asst Store,Chennai,Full Time,Stores & Material Management Department,1 Jul 2023,4.0,4.0,4.0,5.0,4.0,5.0,4.0,here the company is the best company in india i will be lucky that i got a chance to work in this company thanks,there is no question that anyone should reject the offer of this company
90,Senior Manager,Chennai,Contractual,"Operations, Maintenance & Support Department",1 Jul 2023,3.0,2.0,3.0,4.0,3.0,2.0,3.0,1 training for employee 2 work freedom 3 timely salary,1 sunday work both day and night 2 work and life balance poor 3 long working hours work related calls after duty hours
91,Executive Accounts Accountant,"Surat, Gujarat",Full Time,Finance Department,0 Jul 2023,2.0,1.0,2.0,4.0,1.0,1.0,2.0,na,misbehaving nature by existing employee with new employee staff harassment 12 his duty and 2 his journey from site guest house to construction filled horrible culture need to quite sap
92,Assistant Manager EHS M1A,"Silchar, Assam",Full Time,Construction Engineering Department,9 Jul 2023,2.0,1.0,2.0,3.0,2.0,1.0,1.0,worst no cultural of work only brand nothing else no family life,long service people are valued who are starting from get no value to lateral entry staff
93,Assistant Manager,"Surat, Gujarat",Contractual,Construction Engineering Department,9 Jul 2023,3.0,2.0,4.0,4.0,3.0,3.0,3.0,salary is on time you can say before time he policy and employee benefits are very good,if you can sustain in l t work culture and politics you can fit in any company no work life balance 14hrs 24hrs duty there were lots of expectations about l t but all flew to the gutter
94,Construction Manager,Mumbai,Full Time,Construction Engineering Department,8 Jul 2023,4.0,3.0,3.0,4.0,4.0,4.0,3.0,every body owner in this company as per his role,every thing is fare but nothing is fare if some one not god father in organisation
95,Senior Engineer,"Udaipur, Rajasthan",Full Time,After Sales Service & Repair Department,8 Jul 2023,4.0,3.0,4.0,3.0,5.0,4.0,3.0,you will learn a lot in this company but salary is not too high for the less experience or met or get standards are quite high in this company when it comes to requirement you can give a try,salary is not too good you can get a good salary in the competitors company but you will learn a lot
96,Assistant Manager,Mumbai,Full Time,Engineering Department,8 Jul 2023,4.0,3.0,3.0,3.0,4.0,3.0,4.0,opportunity to work on the best and unique engineering projects in the world great people to work and learn,leave policies are bad he policies are not clear
97,Senior Design Engineer,Chennai,Full Time,Engineering & Manufacturing Department,2 Jul 2023,2.0,1.0,3.0,2.0,4.0,1.0,1.0,job security,work culture peaks benefits promotion are very bad anyone looking for these parameter should never join this l t
98,Senior Manager,"Coimbatore, Tamil Nadu",Full Time,Engineering & Manufacturing Department,7 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,i like how people find excuse for never doing anything nothing gets done on time i like how people who work are considered fools and people who calls boxes for every little thing are considered good fellows only chaplusi works here not work,no one will let you work here i am not sure about other work locations but coimbatore location is making fools out of their employees in fact they are not employees they are their s yes never ever go to l t coimbatore location to work even if they offer to 500 like on your etc
99,Assistant Construction Manager,"Surat, Gujarat",Full Time,Construction Engineering Department,7 Jul 2023,5.0,4.0,4.0,4.0,4.0,4.0,5.0,learning new technology of working timely completing of project working culture management,working time is more not getting time to involve with your personal life social
100,Service Engineer,Kolkata,Contractual,Engineering Department,6 Jul 2023,3.0,3.0,4.0,1.0,4.0,4.0,3.0,yes i like work in l t but i am under teamlease of l t l t teamlease salary is very low with the respect of present condition i request to you pus increase the salary of l t teamlease,i have no dislike think of l t
101,Sales Executive,Bengaluru/Bangalore,Full Time,Retail & B2C Sales Department,6 Jul 2023,3.0,2.0,2.0,2.0,4.0,2.0,2.0,only job security if you don t want to grow but just want a secure job,old age company lot of politics only some new is like lots has something interesting to do every other in it is just too much politics old age practices
