,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
4594,Automotive Engineer,Mysuru/Mysore,,Hardware Department,4 Jun 2022,3.0,2.0,2.0,1.0,2.0,1.0,3.0,cafeteria,stick of work need to complete by end
4595,Assistant Manager Accounts,"Jodhpur, Rajasthan",,Accounting & Taxation Department,6 May 2022,5.0,4.0,5.0,5.0,4.0,4.0,4.0,great,nothing all things are great
4596,Branch Head,Mumbai,,,8 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good culture with excellent office working timing,now i m want to work with new organization with new commitment
4597,Shift Incharge,Rourkela,,F&B Service Department,5 Apr 2022,5.0,4.0,4.0,5.0,5.0,4.0,3.0,a great work ethics and culture,there is nothing to say just super
4598,Sp3d Piping Designer,Vadodara,,Engineering & Manufacturing Department,5 Jan 2022,4.0,4.0,5.0,3.0,5.0,4.0,5.0,culture teammates are suppurative and the management is transparent company policies are good appraisal are fair and they give good salary like and bonus every year,work life balance leaves
4600,Engineer In Electrical Distribution Project,Varanasi,Full Time,Construction Engineering Department,7 Jun 2022,3.0,2.0,2.0,4.0,3.0,2.0,1.0,given stars above,already given stars above
4601,Junior Engineer Trainee,According To Company Lacatition,,,1 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,time not allotment confirm time duty duration
4602,Senior Quality Engineer,Chennai,,Not  Department,6 Oct 2021,2.0,1.0,3.0,3.0,3.0,1.0,3.0,today i am completed one half month in this company so i am hear our experience st salary on time and work load is ok 3 very bad work environment people not to ready for new joined 4 no holidays in sunday 5 no entertainment 6 people like as root no friendship fir new north india people,work culture is best in l t company and management always support
4603,TECHNICIAN-2,"MLIP-12 Sundargarh, Odisha",,Accounting & Taxation Department,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,of environment,job security is not their and one more thing they didn t give quick response
4604,Consultant,Bangulore,,Software Development Department,1 Apr 2022,1.0,1.0,1.0,1.0,1.0,3.0,1.0,professional way working culture,working hours is too long have to work in alternative sunday
4605,Senior Engineer- Plant And Machinery,Ballari,,Accounting & Taxation Department,0 Apr 2022,5.0,3.0,4.0,5.0,4.0,4.0,5.0,good engineer good behaviour,all is good
4606,Project Trainee Engineer,L&T Construction Section 4,,Construction Engineering Department,8 Aug 2022,4.0,5.0,5.0,3.0,5.0,4.0,4.0,all we can learn various type of activities in all different types of sites overall it s a very good organization to get the good knowledge and experience,now a days job surely is less and recognising the right talent are decreased
4607,Senior Engineer Civil,Chennai,,Construction Engineering Department,7 Dec 2021,5.0,3.0,5.0,5.0,3.0,4.0,4.0,work culture job security etc,salary incitement
4608,Assistant Manager Ehs,Navi Mumbai,,Construction Engineering Department,8 Apr 2022,5.0,4.0,4.0,3.0,5.0,4.0,5.0,security is good culture good management is good policies life insurance,this construction is very good and safe life etc
4610,Construction Manager Planning,Gurgaon/Gurugram,Full Time,Construction Engineering Department,8 Apr 2022,4.0,2.0,4.0,4.0,5.0,4.0,3.0,daring company but less work life balance,people count no of hours you works
4611,Manger,Chennai,Full Time,Procurement & Purchase Department,4 Jun 2022,1.0,1.0,1.0,3.0,1.0,1.0,3.0,it s hell you feel like slave,nothing much to like
4612,Highway Maintenance Engineer,Palanpur,Full Time,Construction Engineering Department,7 May 2022,1.0,2.0,5.0,1.0,1.0,3.0,1.0,no support from senior manager only love to play politics,job security culture team members are suppurative
4613,Software Engineer,Navi Mumbai,,DevOps Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,timely payment,appraisal system
4614,Construction Manager Mechanical,DELHI,,Construction Engineering Department,7 May 2022,5.0,4.0,5.0,5.0,5.0,4.0,4.0,learning skill development and work atmosphere is good,career growth is not guaranteed for diploma holders
4615,Quality Inspector,Coimbatore,,Quality Department,4 Mar 2022,4.0,4.0,5.0,4.0,5.0,4.0,3.0,job security and work life balance,skilled not used properly due to non process tormented working structure and he service are worst
4616,Manager Presales - Optics,New Delhi,,Accounting & Taxation Department,6 Feb 2022,1.0,4.0,3.0,3.0,4.0,1.0,1.0,very nice,i like also arson turn i love it make my fell proud to part arson turn
4617,Formwork Supervisor,Ranchi,,Construction Engineering Department,2 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,learned lots of new things and technologies,very suppurative of employees
4620,Asst.manager,DUBAI,Full Time,,5 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,working like a family learning new innovative,no
4621,Assistant Manager,Vadodara,Full Time,,5 Jun 2022,4.0,3.0,4.0,4.0,5.0,4.0,4.0,good for career development on time salary,long working hours can be posted in remote locations
4622,Maintenance Engineer,"Vadodara, Gujarat",,"Operations, Maintenance & Support Department",4 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,as good work operation maintenance,will
4623,QA QC Diploma Civil Engineer,Any Site,,Construction Engineering Department,2 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good company,working is hard
4624,Senior Sales Executive,Navi Mumbai,,Retail & B2C Sales Department,0 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,very good company,no reason for dislike
4625,DATA ANNOTATION,Mysuru/Mysore,,Transportation Department,6 May 2022,5.0,4.0,5.0,4.0,1.0,5.0,5.0,good management but the way of controlling team is bad people who don t have knowledge about it and acting like working ring the job of others it must be taken note,team lead feedback should be taken about their knowledge they were taking revenge if they are not coming under there control treating like buffalo
4626,Construction Manager,Ahemdabad,,Construction Engineering Department,5 May 2022,5.0,3.0,5.0,5.0,3.0,3.0,4.0,l t focus on learning before start any project or task,all average good
4627,Supervisor,Mumbai Sakinaka,,Accounting & Taxation Department,5 Dec 2022,3.0,1.0,4.0,2.0,4.0,2.0,2.0,the culture activities,too much corruption and favoritism
4628,Electronics Engineer,Manuguru,,DBA / Data warehousing Department,2 May 2022,4.0,4.0,4.0,2.0,5.0,5.0,4.0,l t company security and work culture is perfect,no
4629,Test Engineer,Bengaluru/Bangalore,,Quality Assurance and Testing Department,1 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0,culture and company ethics,nothing
4630,Assistant Manager Quality,Bellary,Full Time,Production & Manufacturing Department,0 May 2022,1.0,1.0,2.0,3.0,3.0,1.0,1.0,nothing working in l t is like living in before independence era where pp consider himself like a king and all other employees as slaves,everything
4631,Manager Plant Maintenance,New Delhi,Full Time,"Operations, Maintenance & Support Department",1 Jun 2022,3.0,1.0,3.0,3.0,2.0,3.0,2.0,freedom to experiment,rest everything
